source_document_hash,source_page,configuration,unit_system,boom_length_m,working_radius_m,maximum_hook_height_m,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_9.1M,METRIC,9.1,3.0,9.6,415.5,163.9,423.5,171.9,True,2026-09-14T22:45:00Z,Main boom 9.1m peak hook height (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_9.1M,METRIC,9.1,4.0,8.9,401.8,154.5,409.8,162.5,True,2026-09-14T22:45:00Z,Main boom 9.1m grid point at 4m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_9.1M,METRIC,9.1,6.0,7.2,374.4,131.8,382.4,139.8,True,2026-09-14T22:45:00Z,Main boom 9.1m grid point at 6m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_9.1M,METRIC,9.1,7.0,5.7,360.8,111.7,368.8,119.7,True,2026-09-14T22:45:00Z,Main boom 9.1m max working radius reach (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_14.4M,METRIC,14.4,3.5,14.6,408.6,230.8,416.6,238.8,True,2026-09-14T22:45:00Z,Main boom 14.4m peak hook height (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_14.4M,METRIC,14.4,5.0,13.7,388.1,218.7,396.1,226.7,True,2026-09-14T22:45:00Z,Main boom 14.4m grid point at 5m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_14.4M,METRIC,14.4,8.0,11.9,347.1,194.6,355.1,202.6,True,2026-09-14T22:45:00Z,Main boom 14.4m grid point at 8m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_14.4M,METRIC,14.4,10.0,9.9,319.7,167.9,327.7,175.9,True,2026-09-14T22:45:00Z,Main boom 14.4m grid point at 10m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_14.4M,METRIC,14.4,11.8,3.6,295.1,83.6,303.1,91.6,True,2026-09-14T22:45:00Z,Main boom 14.4m max working radius reach (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_19.6M,METRIC,19.6,4.0,19.8,401.8,300.4,409.8,308.4,True,2026-09-14T22:45:00Z,Main boom 19.6m peak hook height (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_19.6M,METRIC,19.6,6.0,18.7,374.4,285.6,382.4,293.6,True,2026-09-14T22:45:00Z,Main boom 19.6m grid point at 6m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_19.6M,METRIC,19.6,10.0,16.4,319.7,254.9,327.7,262.9,True,2026-09-14T22:45:00Z,Main boom 19.6m grid point at 10m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_19.6M,METRIC,19.6,14.0,12.4,265.0,201.3,273.0,209.3,True,2026-09-14T22:45:00Z,Main boom 19.6m grid point at 14m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_19.6M,METRIC,19.6,16.9,3.7,225.4,84.9,233.4,92.9,True,2026-09-14T22:45:00Z,Main boom 19.6m max working radius reach (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_24.9M,METRIC,24.9,4.5,25.0,394.9,370.0,402.9,378.0,True,2026-09-14T22:45:00Z,Main boom 24.9m peak hook height (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_24.9M,METRIC,24.9,8.0,23.7,347.1,352.5,355.1,360.5,True,2026-09-14T22:45:00Z,Main boom 24.9m grid point at 8m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_24.9M,METRIC,24.9,12.0,21.4,292.4,321.8,300.4,329.8,True,2026-09-14T22:45:00Z,Main boom 24.9m grid point at 12m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_24.9M,METRIC,24.9,16.0,17.9,237.7,274.9,245.7,282.9,True,2026-09-14T22:45:00Z,Main boom 24.9m grid point at 16m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_24.9M,METRIC,24.9,20.0,12.2,182.9,198.7,190.9,206.7,True,2026-09-14T22:45:00Z,Main boom 24.9m grid point at 20m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_24.9M,METRIC,24.9,22.0,5.9,155.6,114.4,163.6,122.4,True,2026-09-14T22:45:00Z,Main boom 24.9m max working radius reach (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_30.1M,METRIC,30.1,4.5,31.2,394.9,452.9,402.9,460.9,True,2026-09-14T22:45:00Z,Main boom 30.1m peak hook height at max elevation 78 deg (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_30.1M,METRIC,30.1,8.0,30.2,347.1,439.5,355.1,447.5,True,2026-09-14T22:45:00Z,Main boom 30.1m grid point at 8m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_30.1M,METRIC,30.1,12.0,28.2,292.4,412.8,300.4,420.8,True,2026-09-14T22:45:00Z,Main boom 30.1m grid point at 12m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_30.1M,METRIC,30.1,16.0,25.4,237.7,375.3,245.7,383.3,True,2026-09-14T22:45:00Z,Main boom 30.1m grid point at 16m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_30.1M,METRIC,30.1,20.0,21.4,182.9,321.8,190.9,329.8,True,2026-09-14T22:45:00Z,Main boom 30.1m grid point at 20m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_30.1M,METRIC,30.1,24.0,15.2,128.2,238.8,136.2,246.8,True,2026-09-14T22:45:00Z,Main boom 30.1m grid point at 24m radius (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,10,MAIN_BOOM_30.1M,METRIC,30.1,27.2,5.6,84.5,110.3,92.5,118.3,True,2026-09-14T22:45:00Z,Main boom 30.1m max working radius reach (hook block -1.6m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,14,LATTICE_JIB_8M_0DEG,METRIC,38.1,5.5,40.4,419.3,541.4,427.3,549.4,True,2026-09-14T22:45:00Z,Jib 8m 0 deg offset peak hook height (hook ball -0.7m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,14,LATTICE_JIB_8M_0DEG,METRIC,38.1,8.0,39.5,388.6,530.4,396.6,538.4,True,2026-09-14T22:45:00Z,Jib 8m 0 deg offset grid point at 8m radius (hook ball -0.7m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,14,LATTICE_JIB_8M_0DEG,METRIC,38.1,12.0,37.6,339.5,507.0,347.5,515.0,True,2026-09-14T22:45:00Z,Jib 8m 0 deg offset grid point at 12m radius (hook ball -0.7m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,14,LATTICE_JIB_8M_0DEG,METRIC,38.1,16.0,34.8,290.4,472.5,298.4,480.5,True,2026-09-14T22:45:00Z,Jib 8m 0 deg offset grid point at 16m radius (hook ball -0.7m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,14,LATTICE_JIB_8M_0DEG,METRIC,38.1,20.0,31.1,241.2,426.9,249.2,434.9,True,2026-09-14T22:45:00Z,Jib 8m 0 deg offset grid point at 20m radius (hook ball -0.7m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,14,LATTICE_JIB_8M_0DEG,METRIC,38.1,24.0,26.1,192.1,365.4,200.1,373.4,True,2026-09-14T22:45:00Z,Jib 8m 0 deg offset grid point at 24m radius (hook ball -0.7m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,14,LATTICE_JIB_8M_0DEG,METRIC,38.1,28.0,19.1,143.0,279.2,151.0,287.2,True,2026-09-14T22:45:00Z,Jib 8m 0 deg offset grid point at 28m radius (hook ball -0.7m deduction applied)
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,14,LATTICE_JIB_8M_0DEG,METRIC,38.1,31.5,6.3,100.0,121.7,108.0,129.7,True,2026-09-14T22:45:00Z,Jib 8m 0 deg offset max working radius reach (hook ball -0.7m deduction applied)
