source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,0,3,9.1,AVAILABLE,35,240,672,554.7837753,714.1066132,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,1,3,14.4,AVAILABLE,21.7,554.7837753,672,790.5376511,714.1066132,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,2,3,19.6,AVAILABLE,16.1,790.5376511,672,1030.008179,714.1066132,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,3,3,24.9,NOT_AVAILABLE,,1030.008179,672,1269.478683,714.1066132,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,0,4,3,30.1,NOT_AVAILABLE,,1269.478683,672,1545,714.1066132,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,0,3.5,9.1,AVAILABLE,31,240,714.1066132,554.7837753,741.7740326,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,1,3.5,14.4,AVAILABLE,20.75,554.7837753,714.1066132,790.5376511,741.7740326,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,2,3.5,19.6,AVAILABLE,15,790.5376511,714.1066132,1030.008179,741.7740326,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,3,3.5,24.9,AVAILABLE,12.9,1030.008179,714.1066132,1269.478683,741.7740326,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,1,4,3.5,30.1,NOT_AVAILABLE,,1269.478683,714.1066132,1545,741.7740326,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_UPPER_100_OUTRIGGER,2,0,4,9.1,AVAILABLE,28.4,240,741.7740326,554.7837753,769.441452,TRUE,2026-09-09T13:30:00Z,AI visual transcription candidate; requires independent PDF review
