source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,0,3.0,9.1,,,240.0,1752.0,554.7837753295898,1811.1161499023438,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,1,3.0,14.4,,,554.7837753295898,1752.0,790.5376510620117,1811.1161499023438,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,2,3.0,19.6,,,790.5376510620117,1752.0,1030.0081787109375,1811.1161499023438,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,3,3.0,24.9,,,1030.0081787109375,1752.0,1269.4786834716797,1811.1161499023438,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,4,3.0,30.1,,,1269.4786834716797,1752.0,1545.0,1811.1161499023438,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,0,3.5,9.1,,,240.0,1811.1161499023438,554.7837753295898,1838.7836608886719,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,1,3.5,14.4,,,554.7837753295898,1811.1161499023438,790.5376510620117,1838.7836608886719,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,2,3.5,19.6,,,790.5376510620117,1811.1161499023438,1030.0081787109375,1838.7836608886719,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,3,3.5,24.9,,,1030.0081787109375,1811.1161499023438,1269.4786834716797,1838.7836608886719,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,4,3.5,30.1,,,1269.4786834716797,1811.1161499023438,1545.0,1838.7836608886719,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,0,4.0,9.1,,,240.0,1838.7836608886719,554.7837753295898,1866.451171875,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,1,4.0,14.4,,,554.7837753295898,1838.7836608886719,790.5376510620117,1866.451171875,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,2,4.0,19.6,,,790.5376510620117,1838.7836608886719,1030.0081787109375,1866.451171875,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,3,4.0,24.9,,,1030.0081787109375,1838.7836608886719,1269.4786834716797,1866.451171875,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,4,4.0,30.1,,,1269.4786834716797,1838.7836608886719,1545.0,1866.451171875,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,0,4.5,9.1,,,240.0,1866.451171875,554.7837753295898,1894.1186828613281,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,1,4.5,14.4,,,554.7837753295898,1866.451171875,790.5376510620117,1894.1186828613281,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,2,4.5,19.6,,,790.5376510620117,1866.451171875,1030.0081787109375,1894.1186828613281,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,3,4.5,24.9,,,1030.0081787109375,1866.451171875,1269.4786834716797,1894.1186828613281,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,4,4.5,30.1,,,1269.4786834716797,1866.451171875,1545.0,1894.1186828613281,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,4,0,5.0,9.1,,,240.0,1894.1186828613281,554.7837753295898,1921.7861938476562,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,4,1,5.0,14.4,,,554.7837753295898,1894.1186828613281,790.5376510620117,1921.7861938476562,false,,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,4,2,5.0,19.6,,,790.5376510620117,1894.1186828613281,1030.0081787109375,1921.7861938476562,false,,Direct independent PDF review required; no parser value supplied.
