source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,0,3,9.1,AVAILABLE,30.15,240,1752,554.7837753,1811.11615,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,1,3,14.4,AVAILABLE,21.7,554.7837753,1752,790.5376511,1811.11615,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,2,3,19.6,AVAILABLE,16.1,790.5376511,1752,1030.008179,1811.11615,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,3,3,24.9,NOT_AVAILABLE,-,1030.008179,1752,1269.478683,1811.11615,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,0,4,3,30.1,NOT_AVAILABLE,-,1269.478683,1752,1545,1811.11615,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,0,3.5,9.1,AVAILABLE,21.95,240,1811.11615,554.7837753,1838.783661,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,1,3.5,14.4,AVAILABLE,20.75,554.7837753,1811.11615,790.5376511,1838.783661,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,2,3.5,19.6,AVAILABLE,15,790.5376511,1811.11615,1030.008179,1838.783661,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,3,3.5,24.9,AVAILABLE,12.9,1030.008179,1811.11615,1269.478683,1838.783661,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,1,4,3.5,30.1,NOT_AVAILABLE,-,1269.478683,1811.11615,1545,1838.783661,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,0,4,9.1,AVAILABLE,16.9,240,1838.783661,554.7837753,1866.451172,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,1,4,14.4,AVAILABLE,16.4,554.7837753,1838.783661,790.5376511,1866.451172,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,2,4,19.6,AVAILABLE,14.05,790.5376511,1838.783661,1030.008179,1866.451172,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,3,4,24.9,AVAILABLE,12.05,1030.008179,1838.783661,1269.478683,1866.451172,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,2,4,4,30.1,NOT_AVAILABLE,-,1269.478683,1838.783661,1545,1866.451172,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,0,4.5,9.1,AVAILABLE,13.45,240,1866.451172,554.7837753,1894.118683,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,1,4.5,14.4,AVAILABLE,13.35,554.7837753,1866.451172,790.5376511,1894.118683,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,2,4.5,19.6,AVAILABLE,12.95,790.5376511,1866.451172,1030.008179,1894.118683,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,3,4.5,24.9,AVAILABLE,11.3,1030.008179,1866.451172,1269.478683,1894.118683,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,3,4,4.5,30.1,AVAILABLE,5,1269.478683,1866.451172,1545,1894.118683,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,4,0,5,9.1,AVAILABLE,11.1,240,1894.118683,554.7837753,1921.786194,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,11,PAGE_11_LOWER_50_OUTRIGGER,4,1,5,14.4,AVAILABLE,11.2,554.7837753,1894.118683,790.5376511,1921.786194,TRUE,2026-09-13T17:00:00Z,Direct independent PDF review required; no parser value supplied.
