source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,0,0,3,9.1,AVAILABLE,11.95,240,1368,795.9474564,1411.256927,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,0,1,3,14.4,AVAILABLE,12,795.9474564,1368,1031.701355,1411.256927,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,0,2,3,19.6,AVAILABLE,12.05,1031.701355,1368,1545,1411.256927,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,1,0,3.5,9.1,AVAILABLE,10.55,240,1411.256927,795.9474564,1438.924438,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,1,1,3.5,14.4,AVAILABLE,10.6,795.9474564,1411.256927,1031.701355,1438.924438,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,1,2,3.5,19.6,AVAILABLE,10.6,1031.701355,1411.256927,1545,1438.924438,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,2,0,4,9.1,AVAILABLE,9.4,240,1438.924438,795.9474564,1466.591949,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,2,1,4,14.4,AVAILABLE,9.45,795.9474564,1438.924438,1031.701355,1466.591949,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,2,2,4,19.6,AVAILABLE,9.45,1031.701355,1438.924438,1545,1466.591949,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,3,0,4.5,9.1,AVAILABLE,8.4,240,1466.591949,795.9474564,1494.25946,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,3,1,4.5,14.4,AVAILABLE,8.45,795.9474564,1466.591949,1031.701355,1494.25946,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,3,2,4.5,19.6,AVAILABLE,8.5,1031.701355,1466.591949,1545,1494.25946,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,4,0,5,9.1,AVAILABLE,7.6,240,1494.25946,795.9474564,1521.927017,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,4,1,5,14.4,AVAILABLE,7.65,795.9474564,1494.25946,1031.701355,1521.927017,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,4,2,5,19.6,AVAILABLE,7.65,1031.701355,1494.25946,1545,1521.927017,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,5,0,6,9.1,AVAILABLE,6.25,240,1521.927017,795.9474564,1549.594551,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,5,1,6,14.4,AVAILABLE,6.3,795.9474564,1521.927017,1031.701355,1549.594551,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,5,2,6,19.6,AVAILABLE,6.35,1031.701355,1521.927017,1545,1549.594551,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,6,0,7,9.1,NOT_AVAILABLE,,240,1549.594551,795.9474564,1577.261993,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,6,1,7,14.4,AVAILABLE,5.3,795.9474564,1549.594551,1031.701355,1577.261993,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,6,2,7,19.6,AVAILABLE,5.3,1031.701355,1549.594551,1545,1577.261993,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,7,0,8,9.1,NOT_AVAILABLE,,240,1577.261993,795.9474564,1604.929504,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,7,1,8,14.4,AVAILABLE,4.35,795.9474564,1577.261993,1031.701355,1604.929504,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,7,2,8,19.6,AVAILABLE,4.4,1031.701355,1577.261993,1545,1604.929504,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,8,0,9,9.1,NOT_AVAILABLE,,240,1604.929504,795.9474564,1632.597107,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,8,1,9,14.4,AVAILABLE,3.5,795.9474564,1604.929504,1031.701355,1632.597107,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,8,2,9,19.6,AVAILABLE,3.55,1031.701355,1604.929504,1545,1632.597107,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,9,0,10,9.1,NOT_AVAILABLE,,240,1632.597107,795.9474564,1660.264618,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,9,1,10,14.4,AVAILABLE,2.85,795.9474564,1632.597107,1031.701355,1660.264618,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,9,2,10,19.6,AVAILABLE,2.85,1031.701355,1632.597107,1545,1660.264618,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,10,0,11,9.1,NOT_AVAILABLE,,240,1660.264618,795.9474564,1687.932037,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,10,1,11,14.4,AVAILABLE,2.3,795.9474564,1660.264618,1031.701355,1687.932037,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,10,2,11,19.6,AVAILABLE,2.35,1031.701355,1660.264618,1545,1687.932037,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,11,0,12,9.1,NOT_AVAILABLE,,240,1687.932037,795.9474564,1715.599548,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,11,1,12,14.4,NOT_AVAILABLE,,795.9474564,1687.932037,1031.701355,1715.599548,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,11,2,12,19.6,AVAILABLE,1.9,1031.701355,1687.932037,1545,1715.599548,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,12,0,13,9.1,NOT_AVAILABLE,,240,1715.599548,795.9474564,1743.267151,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,12,1,13,14.4,NOT_AVAILABLE,,795.9474564,1715.599548,1031.701355,1743.267151,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,12,2,13,19.6,AVAILABLE,1.55,1031.701355,1715.599548,1545,1743.267151,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,13,0,14,9.1,NOT_AVAILABLE,,240,1743.267151,795.9474564,1770.934662,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,13,1,14,14.4,NOT_AVAILABLE,,795.9474564,1743.267151,1031.701355,1770.934662,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,13,2,14,19.6,AVAILABLE,1.25,1031.701355,1743.267151,1545,1770.934662,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,14,0,15,9.1,NOT_AVAILABLE,,240,1770.934662,795.9474564,1798.602081,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,14,1,15,14.4,NOT_AVAILABLE,,795.9474564,1770.934662,1031.701355,1798.602081,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,14,2,15,19.6,AVAILABLE,1,1031.701355,1770.934662,1545,1798.602081,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,15,0,16,9.1,NOT_AVAILABLE,,240,1798.602081,795.9474564,1826.269592,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,15,1,16,14.4,NOT_AVAILABLE,,795.9474564,1798.602081,1031.701355,1826.269592,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,15,2,16,19.6,AVAILABLE,0.75,1031.701355,1798.602081,1545,1826.269592,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,16,0,17,9.1,NOT_AVAILABLE,,240,1826.269592,795.9474564,1854,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,16,1,17,14.4,NOT_AVAILABLE,,795.9474564,1826.269592,1031.701355,1854,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_LOWER_ON_TIRES_0_MAX_2_KMH,16,2,17,19.6,AVAILABLE,0.6,1031.701355,1826.269592,1545,1854,TRUE,2026-09-13T17:50:00Z,Direct independent PDF review required; no parser value supplied.
