source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,0,0,3,9.1,AVAILABLE,11.9,240,672,665.33741,713.9341278,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,0,1,3,14.4,NOT_AVAILABLE,,665.33741,672,901.0913086,713.9341278,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,0,2,3,19.6,NOT_AVAILABLE,,901.0913086,672,1140.561813,713.9341278,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,0,3,3,24.9,NOT_AVAILABLE,,1140.561813,672,1545,713.9341278,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,1,0,3.5,9.1,AVAILABLE,10.25,240,713.9341278,665.33741,741.6015472,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,1,1,3.5,14.4,NOT_AVAILABLE,,665.33741,713.9341278,901.0913086,741.6015472,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,1,2,3.5,19.6,NOT_AVAILABLE,,901.0913086,713.9341278,1140.561813,741.6015472,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,1,3,3.5,24.9,NOT_AVAILABLE,,1140.561813,713.9341278,1545,741.6015472,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,2,0,4,9.1,AVAILABLE,8.95,240,741.6015472,665.33741,769.2689667,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,2,1,4,14.4,NOT_AVAILABLE,,665.33741,741.6015472,901.0913086,769.2689667,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,12,PAGE_12_UPPER_ON_TIRES_360_0_KMH,2,2,4,19.6,NOT_AVAILABLE,,901.0913086,741.6015472,1140.561813,769.2689667,TRUE,2026-09-13T17:30:00Z,Direct independent PDF review required; no parser value supplied.
