source_document_hash,source_page,configuration,row_index,column_index,radius_m,boom_length_m,expected_cell_status,expected_capacity_t,source_bbox_x0,source_bbox_y0,source_bbox_x1,source_bbox_y1,human_verified,verified_at,verification_note
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,0,3,9.1,AVAILABLE,6,162,840,402.5633354,909.5272064,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,1,3,14.4,AVAILABLE,6,402.5633354,840,514.1577072,909.5272064,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,2,3,19.6,NOT_AVAILABLE,,514.1577072,840,629.4686966,909.5272064,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,3,3,24.9,NOT_AVAILABLE,,629.4686966,840,744.7797089,909.5272064,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,0,4,3,30.1,NOT_AVAILABLE,,744.7797089,840,876,909.5272064,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,0,3.5,9.1,AVAILABLE,5.5,162,909.5272064,402.5633354,937.1946259,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,1,3.5,14.4,AVAILABLE,5.5,402.5633354,909.5272064,514.1577072,937.1946259,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,2,3.5,19.6,AVAILABLE,6.9,514.1577072,909.5272064,629.4686966,937.1946259,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,3,3.5,24.9,NOT_AVAILABLE,,629.4686966,909.5272064,744.7797089,937.1946259,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,1,4,3.5,30.1,NOT_AVAILABLE,,744.7797089,909.5272064,876,937.1946259,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
7048039dfe68b0626f72966c3ce2db635559443cb131652ff89fa834e27e3207,15,PAGE_15_LEFT_LATTICE_JIB_8M_0_DEG,2,0,4,9.1,AVAILABLE,5.2,162,937.1946259,402.5633354,964.8620453,TRUE,2026-09-13T18:40:00Z,Direct independent PDF review required; no parser value supplied.
